movie_name,release_date,production_budget_usd,domestic_gross_usd,worldwide_gross_usd,domestic_box_office_usd,international_box_office_usd,worldwide_box_office_usd,opening_weekend_usd,legs,infl_adj_dom_bo_usd,mpaa_rating,running_time_minutes,source,genre,production_method,creative_type,domestic_share_percentage,release_year,release_month,release_quarter,opening_theaters,max_theaters,avg_weeks_per_theater,is_franchise,profit_worldwide,profit_domestic,roi_worldwide,roi_domestic,log_domestic_box_office,log_worldwide_box_office,log_budget,log_opening_weekend,log_opening_theaters,log_max_theaters,imdb_id,imdb_rating,imdb_votes
Boat Trip,2003-03-21,15000000,8586376,14933713,8586376.0,6347337.0,14933713.0,3815075.0,2.25,15350095.0,R,94.0,Original Screenplay,Comedy,Live Action,Contemporary Fiction,57.5,2003.0,3.0,1.0,1714.0,1803.0,2.5,0,-66287.0,-6413624.0,0.9955808666666668,0.5724250666666667,15.965687435491247,16.51913189946364,16.52356082573315,15.154471143865308,7.44716835960004,7.497761700622568,,,
The Importance of Being Earnest,2002-05-22,15000000,8378141,8667209,8378141.0,289068.0,8667209.0,398662.0,10.83,15544976.0,PG,97.0,Based on Play,Comedy,Live Action,Historical Fiction,96.7,2002.0,5.0,2.0,38.0,216.0,11.3,0,-6332791.0,-6621859.0,0.5778139333333333,0.5585427333333334,15.941136729498025,15.975057497660258,16.52356082573315,12.895871727457894,3.6635616461296463,5.37989735354046,tt0278500,6.8,"25,047"
The Love Letter,1999-05-21,15000000,8322608,9740481,8322608.0,1417873.0,9740481.0,2692819.0,3.09,17660960.0,PG-13,107.0,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Contemporary Fiction,85.4,1999.0,5.0,2.0,769.0,817.0,5.6,0,-5259519.0,-6677392.0,0.6493654,0.5548405333333334,15.934486345371688,16.09180116104727,16.52356082573315,14.806099529604406,6.646390514847729,6.706862336602747,tt0166252,5.5,"4,756"
Hoot,2006-05-05,15000000,8117637,8224998,8117637.0,107361.0,8224998.0,3368197.0,2.41,13360010.0,PG,91.0,Based on Fiction Book/Short Story,Adventure,Live Action,Contemporary Fiction,98.7,2006.0,5.0,2.0,3018.0,3018.0,2.4,0,-6775002.0,-6882363.0,0.5483332,0.5411758,15.90954978312261,15.922688733035155,16.52356082573315,15.029888441214949,8.012680929706839,8.012680929706839,tt0453494,5.5,"9,015"
Trumbo,2015-11-06,15000000,7857741,13300181,7857741.0,5442440.0,13300181.0,74177.0,4.87,10020808.0,R,124.0,Based on Real Life Events,Drama,Live Action,Dramatization,59.1,2015.0,11.0,4.0,5.0,1187.0,2.5,0,-1699819.0,-7142259.0,0.8866787333333334,0.5238494,15.877009845779655,16.40328827730888,16.52356082573315,11.214222889234982,1.791759469228055,7.080026499922591,tt3203606,7.4,"86,358"
In Bruges,2008-02-08,15000000,7800825,34509748,7800825.0,26708923.0,34509748.0,457227.0,8.04,11712103.0,R,107.0,Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,22.6,2008.0,2.0,1.0,28.0,232.0,9.8,0,19509748.0,-7199175.0,2.300649866666667,0.520055,15.86974018348898,17.356752421793608,16.52356082573315,13.032937451372264,3.367295829986474,5.4510384535657,tt0780536,7.9,"490,275"
Promised Land,2013-01-04,15000000,7597898,12394562,7597898.0,4796664.0,12394562.0,173915.0,1.88,10198915.0,R,106.0,Original Screenplay,Drama,Live Action,Historical Fiction,61.3,2013.0,1.0,1.0,25.0,1676.0,2.1,0,-2605438.0,-7402102.0,0.8263041333333333,0.5065265333333333,15.84338231966952,16.332768466678242,16.52356082573315,12.066327703010517,3.258096538021482,7.424761761823209,tt3578170,8.0,7
Mulholland Drive,2001-10-08,15000000,7219578,20780568,7219578.0,13560990.0,20780568.0,587591.0,7.52,13679572.0,R,87.0,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,34.7,2001.0,10.0,4.0,66.0,247.0,9.6,0,5780568.0,-7780422.0,1.3853712,0.4813052,15.792307198919591,16.849528925358644,16.52356082573315,13.283788108485298,4.204692619390966,5.5134287461649825,tt0166924,7.9,"415,244"
Hotel Artemis,2018-06-07,15000000,6708137,13316627,6708137.0,6608490.0,13316627.0,3232790.0,2.08,7937831.0,R,97.0,Original Screenplay,Thriller/Suspense,Live Action,Science Fiction,50.4,2018.0,6.0,2.0,2407.0,2407.0,2.1,0,-1683373.0,-8291863.0,0.8877751333333334,0.4472091333333333,15.718831974164432,16.404524037874694,16.52356082573315,14.98885640877816,7.786551806428712,7.786551806428712,tt5834262,6.1,"61,205"
The Rocker,2008-08-20,15000000,6409528,8767338,6409528.0,2357810.0,8767338.0,2636048.0,2.43,9623220.0,PG-13,102.0,Original Screenplay,Comedy,Live Action,Contemporary Fiction,73.1,2008.0,8.0,3.0,2784.0,2784.0,2.3,0,-6232662.0,-8590472.0,0.5844892,0.4273018666666666,15.673296347257986,15.98654389755441,16.52356082573315,14.78479176320263,7.932003152361385,7.932003152361385,tt1031969,6.2,"41,171"
